Price;SqFt;FEATS;Taxes
2050;2650;7;1639
2080;2600;4;1088
2150;2664;5;1193
2150;2921;6;1635
1999;2580;4;1732
1900;2580;4;1534
1800;2774;4;1765
1560;1920;5;1161
1450;2150;4;1050
1449;1710;3;1010
1375;1837;5;1191
1270;1880;6;930
1250;2150;3;984
1235;1894;5;1112
1170;1928;8;600
1180;1830;3;733
1155;1767;4;794
1110;1630;3;867
1139;1680;4;750
995;1725;3;923
995;1500;4;743
975;1430;3;752
975;1360;4;696
900;1400;2;731
960;1573;6;768
860;1385;2;653
1695;2931;3;1142
1553;2200;4;1035
1250;2277;4;990
1300;2000;3;1076
1020;1478;3;626
1020;1713;4;600
922;1326;4;668
925;1050;2;553
899;1464;2;566
850;1190;1;600
876;1156;1;603
890;1746;2;591
870;1280;1;599
700;1215;3;477
720;1121;4;398
749;1733;6;656
731;1299;6;585
725;1140;3;490
670;1181;4;440
2150;2848;6;1487
1599;2440;5;1265
1350;2253;4;939
1299;2743;5;1232
1250;2180;4;1141
1239;1706;4;810
1200;1948;4;899
1125;1710;4;800
1100;1657;4;865
1080;2200;4;1076
1050;1680;4;875
1049;1900;3;690
955;1565;3;648
934;1543;3;820
875;1173;4;456
889;1549;4;723
855;1900;3;780
835;1560;5;638
810;1365;2;673
805;1258;4;821
799;1314;2;671
750;1338;3;649
759;997;4;461
750;1030;1;486
730;1027;3;427
729;1007;6;513
710;1083;4;504
670;1350;2;622
619;837;2;342
1295;3750;4;1200
975;1500;3;700
939;1428;2;701
820;1375;1;585
780;1080;3;600
770;900;3;391
700;1505;2;591
540;1142;0;223
1070;1464;2;376
2100;2116;3;1209
725;1280;3;447
660;1159;0;225
580;1051;2;426
1844;2250;6;915
1580;2563;2;1189
699;1400;1;481
1160;1720;4;867
1109;1740;3;816
1129;1700;4;725
1050;1620;4;800
1045;1630;4;750
1050;1920;4;944
1020;1606;4;811
1000;1535;5;668
1030;1540;2;826
975;1739;3;880
950;1715;3;900
940;1305;3;647
920;1415;4;866
945;1580;3;810
874;1236;4;707
872;1229;3;721
870;1273;4;638
869;1165;4;694
766;1200;4;634
739;970;4;541
