station_number, station_name, measurement_height, latitude, longitude, readings_from, readings_to, elevation
102170,Östmark-Åsarna,2,60.2788,12.8538,2013-11-01 00:00:00,2016-09-30 23:59:59,135
102190,Östmark-Lämbacken,2,60.3097,12.6959,1955-09-01 00:00:00,1980-02-29 23:59:59,177
102200,Östmark-Rännberg,2,60.3328,12.6775,1980-07-01 00:00:00,1988-07-31 23:59:59,198
102210,Östmark-Röjdåsen,2,60.3548,12.6491,1988-08-01 00:00:00,2000-05-31 23:59:59,308
102390,Brattmon V,2,60.75686,12.77226,1996-03-01 00:00:00,2016-10-01 09:00:00,199
102540,Höljes,2,60.9066,12.5843,1961-01-01 00:00:00,2016-08-31 23:59:59,230
103050,Edebäck,2,60.0666,13.55,1961-01-01 00:00:00,1977-06-30 23:59:59,155
103080,Torsby,2,60.1075,12.9908,2005-11-01 00:00:00,2013-12-31 23:59:59,127
103090,Gustavsfors,2,60.1514,13.7975,1978-01-01 00:00:00,2016-08-31 23:59:59,190
103100,Gustavsfors A,2,60.1538,13.8019,1995-08-01 00:00:00,2016-10-01 09:00:00,187
103410,Malung,2,60.6717,13.7058,2011-10-01 00:00:00,2016-09-30 23:59:59,310
103420,Malung A,2,60.6773,13.71,2009-10-01 00:00:00,2016-10-01 09:00:00,306
103570,Knås,2,60.9676,13.8985,1987-10-01 00:00:00,1989-02-28 23:59:59,280
104090,Fredriksberg,2,60.1426,14.3951,1989-04-01 00:00:00,2012-12-31 23:59:59,305
104120,Lejen,2,60.2,14.4,1961-01-01 00:00:00,1976-11-30 23:59:59,340
104300,Mockfjärd,2,60.5074,14.9585,1973-04-01 00:00:00,1976-12-31 23:59:59,177
104390,Flaten,2,60.651,14.4277,1994-01-01 00:00:00,1998-09-15 23:59:59,296
104530,Siljansfors,2,60.8846,14.3786,1961-01-01 00:00:00,1991-06-30 23:59:59,260
104580,Mora A,2,60.9607,14.507,1995-08-01 00:00:00,2016-10-01 09:00:00,196
105070,Skeppsmora V,2,60.12295,15.12262,1996-03-01 00:00:00,2016-10-01 09:00:00,246
