station_number, date, time, air_temperature, quality
151550,1981-02-23,12:00:00,-13.4,G
54230,1990-07-02,00:00:00,15.8,G
178970,2012-02-05,02:00:00,-23.6,G
146070,1982-10-06,18:00:00,3.7,G
182910,2006-02-09,22:00:00,-15.2,Y
128390,1990-03-07,23:00:00,-0.6,Y
127310,2000-04-08,21:00:00,-4.4,G
102390,2010-04-27,18:00:00,5.3,G
188850,2012-07-17,11:00:00,11.5,G
132110,2012-06-19,09:00:00,0.3,G
135460,2007-08-31,03:00:00,-0.6,G
63050,1965-09-21,23:00:00,12.2,Y
149340,2014-06-24,00:00:00,8,G
166910,2013-03-18,14:00:00,-5.5,G
181900,2010-01-07,18:00:00,-23.9,G
97200,1988-12-01,10:00:00,-11.4,Y
107400,1974-03-22,18:00:00,1,G
180750,1952-05-09,12:00:00,11.5,Y
52360,1985-09-10,21:00:00,15.3,G
133500,2011-09-26,06:00:00,5.3,G
85460,2006-05-18,11:00:00,11.7,Y
77180,1965-04-19,15:00:00,9,Y
77210,1997-11-29,15:00:00,2.3,G
94190,2009-07-02,09:00:00,26,G
78140,1981-01-20,12:00:00,-2.5,G
180770,2000-01-01,07:00:00,-8.9,Y
94190,2000-06-13,00:00:00,10.7,G
160750,1998-10-30,13:00:00,0.1,Y
53180,2014-01-20,15:00:00,0.1,G
87450,1977-11-10,03:00:00,7,G
63050,1960-12-31,17:00:00,0,Y
162860,2009-03-30,09:00:00,-3.8,G
147420,2000-12-11,10:00:00,-1.2,Y
94170,1972-08-02,03:00:00,10.2,Y
154860,1987-01-20,22:00:00,-2.2,Y
84310,2009-12-23,07:00:00,-4.6,Y
62550,1993-01-14,21:00:00,4.3,G
92130,2007-08-09,10:00:00,21.2,Y
97110,1969-04-13,08:00:00,1.2,Y
97510,2012-04-19,22:00:00,4.2,G
166910,2002-06-12,07:00:00,17.3,Y
103100,2001-10-16,02:00:00,10,Y
92130,2014-04-17,18:00:00,5.6,G
84520,2002-02-16,20:00:00,4.9,Y
66110,1998-10-19,11:00:00,9.4,Y
178860,2014-12-16,13:00:00,-6.4,G
163920,1986-05-21,12:00:00,11.5,G
182810,2006-06-14,07:00:00,13.9,Y
81350,1992-08-30,09:00:00,15,G
114410,2006-10-04,13:00:00,9.6,Y
172770,2001-11-18,22:00:00,-20,Y
84520,2007-01-29,09:00:00,-8.8,G
137030,1955-03-20,06:00:00,-11.4,Y
52510,1987-03-17,08:00:00,-1.2,Y
102390,2010-04-24,04:00:00,-5.8,Y
84340,2011-01-30,08:00:00,-1.2,G
106570,2016-05-16,22:00:00,5.8,G
78400,2007-04-01,09:00:00,7.4,G
138390,2002-10-25,05:00:00,-0.9,Y
54290,1999-12-26,11:00:00,3.7,Y
63050,1982-11-01,20:00:00,10.9,Y
117160,1955-06-24,08:00:00,16,Y
97400,2011-02-22,06:00:00,-11.7,G
167710,2009-12-31,14:00:00,-12.8,Y
107420,2015-02-26,00:00:00,0.4,G
94140,1975-03-09,12:00:00,3.8,G
107130,1989-05-11,18:00:00,11.6,G
74180,1957-03-18,13:00:00,-1.1,Y
132180,1994-01-03,03:00:00,-7.8,G
64510,1998-11-09,07:00:00,-3.8,Y
86200,1983-10-27,06:00:00,10.5,G
99090,1989-09-09,07:00:00,12.6,Y
124020,1980-01-06,09:00:00,-5.4,G
97530,1971-04-05,05:00:00,-6.1,Y
63510,2001-07-07,09:00:00,26.4,G
66110,2014-07-24,10:00:00,23.2,G
86370,1956-05-12,20:00:00,10,Y
188810,1987-01-15,04:17:00,-1.3,Y
106160,2005-12-13,20:00:00,0.4,Y
82260,2007-09-25,22:00:00,9.8,Y
72160,1993-04-01,03:00:00,1.9,G
62180,1968-01-15,22:00:00,0.2,Y
115220,1996-01-04,17:00:00,-13.9,Y
62040,1999-07-02,12:00:00,17.2,G
106160,2014-11-23,13:00:00,2.5,G
114140,1996-05-26,13:00:00,10.5,Y
148040,2002-05-16,12:00:00,12.6,G
191910,1998-09-02,18:00:00,8.2,G
98040,2016-06-28,09:00:00,20.4,G
72080,1990-07-28,12:00:00,23.8,G
182930,1973-08-13,03:00:00,8.4,G
133570,1990-08-16,04:00:00,11.3,Y
62530,2012-10-29,20:00:00,5.9,G
149160,1973-12-22,12:00:00,-2.2,G
86480,1969-10-27,14:00:00,5.8,Y
76160,1973-11-27,12:00:00,-6.8,G
135380,1961-10-12,18:00:00,4.4,G
97390,1966-08-28,13:00:00,17,Y
107450,1994-12-19,19:00:00,2.3,Y
115220,2015-06-21,15:00:00,18.2,G
94190,2014-01-25,21:00:00,-7.1,G
180740,1980-03-23,21:00:00,-9.1,Y
94390,2002-03-07,15:00:00,0.7,G
97200,1978-02-05,10:00:00,-1.4,Y
87360,2005-03-27,07:00:00,0,Y
161910,1998-11-21,05:00:00,-4.3,Y
167990,2011-01-17,00:00:00,-13.3,G
178970,2008-02-26,07:00:00,-9.6,Y
133190,1982-11-22,09:00:00,2.4,G
117430,2009-04-30,15:00:00,6,G
132170,2015-10-25,15:00:00,2.6,G
177930,2006-05-10,09:00:00,9,G
81370,2005-04-20,16:00:00,8.9,Y
65160,1985-01-27,12:00:00,-5.5,G
96350,1967-11-18,12:00:00,5.7,Y
78040,1989-02-18,12:25:00,1.1,Y
68560,2011-03-12,17:00:00,1.2,G
85220,1973-04-24,06:00:00,2,G
54550,1995-05-24,06:00:00,9.2,G
99090,2000-01-28,21:00:00,0.2,G
66110,2008-06-24,08:00:00,13.6,Y
95020,1982-12-31,06:00:00,4.1,G
87440,2004-03-15,20:00:00,3.5,Y
79580,1969-05-31,06:00:00,7,G
98040,1982-02-05,08:00:00,-9.1,Y
138070,2005-11-04,20:00:00,9.5,Y
117160,1978-02-24,14:00:00,-4,Y
114140,2002-02-28,18:00:00,-5.1,G
133200,1972-11-22,18:00:00,-3.2,G
123480,1976-06-12,18:00:00,15.7,G
72150,1974-01-02,06:00:00,2,G
138390,2011-05-15,19:00:00,6.6,G
52350,1997-11-06,07:00:00,6,Y
76530,1984-09-27,12:00:00,10,G
75040,1964-02-11,06:00:00,-2,G
107440,2007-01-31,07:00:00,-1,Y
82090,2005-04-16,18:00:00,10.4,G
107400,1993-04-30,12:00:00,22.9,G
85240,1992-07-26,13:00:00,26.2,Y
66410,1975-04-18,15:00:00,8.5,G
85490,1987-02-10,03:00:00,-10.5,G
173900,2003-10-11,16:00:00,3.3,Y
92130,2006-03-04,09:00:00,-13.5,G
97110,1979-03-09,20:00:00,1.2,Y
99090,2004-09-14,07:00:00,13.9,Y
188850,2016-06-09,15:00:00,3,G
136090,2011-04-07,23:00:00,0.5,G
53650,1967-06-08,06:00:00,11,G
64510,2003-08-23,06:00:00,13.9,G
183750,2013-06-20,08:00:00,15,G
64020,2015-04-27,00:00:00,6,G
162790,1996-09-15,20:00:00,9.5,Y
172770,1999-11-23,16:00:00,-1.8,Y
98230,2002-05-05,13:00:00,13.4,Y
98400,1987-12-21,12:00:00,0.8,G
124020,1997-12-23,03:00:00,-16.8,G
116430,1962-12-26,06:00:00,-20.6,G
183760,1979-12-22,12:00:00,0.7,G
155940,2004-08-18,06:00:00,5.4,G
147460,1990-07-31,12:00:00,17.7,G
166810,1988-07-07,12:00:00,19.2,G
127220,1968-02-26,12:00:00,6.2,G
138070,2012-08-14,15:00:00,19.2,G
183750,2009-08-02,00:00:00,14.5,G
154860,1991-08-14,17:00:00,10.7,Y
166940,2000-01-27,06:00:00,-6,G
133050,1968-03-19,18:00:00,-11.2,G
132180,1990-04-14,00:00:00,-1.6,G
171820,1972-04-18,15:00:00,3.2,Y
132180,1999-12-21,03:00:00,-4.1,G
112540,2009-05-25,04:00:00,8,Y
78400,1954-09-09,18:00:00,15.2,Y
115220,2002-04-15,00:00:00,-4.3,G
